cliente_ref,pelicula_ref,pelicula_titulo,categoria_nombre,ingreso,veces_alquilada_pelicula,precio_promedio_genero,codigo_genero,ingreso_alto,pelicula_popular,genero_alto_valor
Willie Markham,Lolita World,Lolita World,Familia,2.99,10,3.86,9,0,0,0
Gwendolyn May,Masked Bubble,Masked Bubble,Música,0.99,20,4.12,12,0,0,0
Annie Russell,Earth Vision,Earth Vision,Nuevo,0.99,23,4.63,14,0,1,1
Randy Gaither,Whisperer Giant,Whisperer Giant,Ciencia ficción,8.99,22,4.32,2,1,1,0
Dawn Sullivan,Boogie Amelie,Boogie Amelie,Música,4.99,29,4.12,12,1,1,0
Patsy Davidson,Mission Zoolander,Mission Zoolander,Animación,7.99,18,3.99,1,1,0,0
Shane Millard,Madison Trap,Madison Trap,Documental,5.99,15,4.02,6,1,0,0
Brent Harkins,Money Harold,Money Harold,Nuevo,7.99,20,4.63,14,1,0,1
Rosa Reynolds,Island Exorcist,Island Exorcist,Clásicos,2.99,26,3.88,3,0,1,0
Alfredo Mcadams,Bedazzled Married,Bedazzled Married,Familia,0.99,13,3.86,9,0,0,0
Brent Harkins,Coma Head,Coma Head,Viajar,4.99,26,4.24,15,1,1,0
Jennie Terry,Dream Pickup,Dream Pickup,Acción,5.99,22,3.94,0,1,1,0
Marion Snyder,Moulin Wake,Moulin Wake,Viajar,5.99,16,4.24,15,1,0,0
Melanie Armstrong,Enemy Odds,Enemy Odds,Música,4.99,29,4.12,12,1,1,0
Ivan Cromwell,Straight Hours,Straight Hours,Deportes,0.99,20,4.51,5,0,0,1
Victoria Gibson,Finding Anaconda,Finding Anaconda,Familia,4.99,12,3.86,9,1,0,0
Joann Gardner,Jade Bunch,Jade Bunch,Deportes,2.99,18,4.51,5,0,0,1
Jonathan Scarborough,Brotherhood Blanket,Brotherhood Blanket,Documental,1.99,26,4.02,6,0,1,0
Teresa Rogers,Breaking Home,Breaking Home,Nuevo,2.99,13,4.63,14,0,0,1
Claude Herzog,Zhivago Core,Zhivago Core,Horror,0.99,9,4.4,10,0,0,0
Shirley Allen,Sunrise League,Sunrise League,Animación,5.99,24,3.99,1,1,1,0
Barry Lovelace,Alter Victory,Alter Victory,Animación,3.99,22,3.99,1,0,1,0
Ella Oliver,Kwai Homeward,Kwai Homeward,Drama,1.99,23,4.33,7,0,1,0
Virginia Green,Movie Shakespeare,Movie Shakespeare,Familia,4.99,27,3.86,9,1,1,0
Marion Snyder,Hanging Deep,Hanging Deep,Drama,6.99,19,4.33,7,1,0,0
Elsie Kelley,Expendable Stallion,Expendable Stallion,Documental,4.99,28,4.02,6,1,1,0
Karen Jackson,Trouble Date,Trouble Date,Viajar,2.99,23,4.24,15,0,1,0
Ida Andrews,Color Philadelphia,Color Philadelphia,Clásicos,4.99,24,3.88,3,1,1,0
Agnes Bishop,Igby Maker,Igby Maker,Viajar,4.99,19,4.24,15,1,0,0
Eva Ramos,Slums Duck,Slums Duck,Familia,0.99,24,3.86,9,0,1,0
Virginia Green,Pluto Oleander,Pluto Oleander,Nuevo,4.99,16,4.63,14,0,0,1
Minnie Romero,Reunion Witches,Reunion Witches,Drama,0.99,20,4.33,7,0,0,0
Wendy Harrison,Chance Resurrection,Chance Resurrection,Deportes,5.99,27,4.51,5,1,1,1
Wade Delvalle,Feud Frogmen,Feud Frogmen,Familia,0.99,25,3.86,9,0,1,0
Nicholas Barfield,Bird Independence,Bird Independence,Viajar,4.99,11,4.24,15,1,0,0
Alexander Fennell,Trojan Tomorrow,Trojan Tomorrow,Ciencia ficción,2.99,19,4.32,2,0,0,0
Tamara Nguyen,Kissing Dolls,Kissing Dolls,Acción,4.99,20,3.94,0,1,0,0
Brenda Wright,Frisco Forrest,Frisco Forrest,Ciencia ficción,4.99,9,4.32,2,0,0,0
Tim Cary,Innocent Usual,Innocent Usual,Extranjero,4.99,26,4.13,8,1,1,0
Jacob Lance,Idols Snatchers,Idols Snatchers,Niños,4.99,30,3.87,13,1,1,0
Warren Sherrod,Lawless Vision,Lawless Vision,Animación,4.99,17,3.99,1,1,0,0
Greg Robins,Half Outfield,Half Outfield,Familia,2.99,26,3.86,9,0,1,0
Anita Morales,Idaho Love,Idaho Love,Nuevo,8.99,17,4.63,14,1,0,1
Phyllis Foster,Stepmom Dream,Stepmom Dream,Extranjero,4.99,20,4.13,8,1,0,0
Chad Carbone,Banger Pinocchio,Banger Pinocchio,Música,3.99,22,4.12,12,0,1,0
Jacob Lance,Elf Murder,Elf Murder,Música,4.99,7,4.12,12,1,0,0
Kyle Spurlock,Gangs Pride,Gangs Pride,Animación,2.99,27,3.99,1,0,1,0
Leroy Bustamante,Doctor Grail,Doctor Grail,Niños,4.99,7,3.87,13,1,0,0
Raul Fortier,Nightmare Chill,Nightmare Chill,Juegos,5.99,25,4.42,11,1,1,1
Priscilla Lowe,Satisfaction Confidential,Satisfaction Confidential,Deportes,8.99,17,4.51,5,1,0,1
Gerald Fultz,Sabrina Midnight,Sabrina Midnight,Niños,4.99,21,3.87,13,1,1,0
Brad Mccurdy,Wife Turn,Wife Turn,Documental,4.99,31,4.02,6,1,1,0
Lloyd Dowd,Enemy Odds,Enemy Odds,Música,7.99,29,4.12,12,1,1,0
Rodney Moeller,Cupboard Sinners,Cupboard Sinners,Documental,2.99,23,4.02,6,0,1,0
Zachary Hite,Deceiver Betrayed,Deceiver Betrayed,Drama,0.99,21,4.33,7,0,1,0
Neil Renner,Hyde Doctor,Hyde Doctor,Clásicos,4.99,26,3.88,3,1,1,0
Ron Deluca,Voice Peach,Voice Peach,Nuevo,3.99,19,4.63,14,0,0,1
Alan Kahn,Ridgemont Submarine,Ridgemont Submarine,Nuevo,3.99,32,4.63,14,0,1,1
Jerome Kenyon,Gilmore Boiled,Gilmore Boiled,Clásicos,3.99,28,3.88,3,0,1,0
Kristin Johnston,Liberty Magnificent,Liberty Magnificent,Deportes,7.99,12,4.51,5,1,0,1
Francis Sikes,Shanghai Tycoon,Shanghai Tycoon,Viajar,2.99,14,4.24,15,0,0,0
Bruce Schwarz,Conquerer Nuts,Conquerer Nuts,Drama,4.99,16,4.33,7,0,0,0
Kurt Emmons,Oklahoma Jumanji,Oklahoma Jumanji,Nuevo,0.99,6,4.63,14,0,0,1
Marion Snyder,National Story,National Story,Documental,2.99,19,4.02,6,0,0,0
Wallace Slone,Birch Antitrust,Birch Antitrust,Música,8.99,11,4.12,12,1,0,0
Viola Hanson,Shakespeare Saddle,Shakespeare Saddle,Deportes,2.99,22,4.51,5,0,1,1
Pauline Henry,River Outlaw,River Outlaw,Deportes,3.99,20,4.51,5,0,0,1
Jonathan Scarborough,Cheaper Clyde,Cheaper Clyde,Ciencia ficción,3.99,20,4.32,2,0,0,0
Velma Lucas,Gaslight Crusade,Gaslight Crusade,Horror,2.99,16,4.4,10,0,0,0
Alicia Mills,Bang Kwai,Bang Kwai,Familia,2.99,7,3.86,9,0,0,0
Leon Bostic,Rules Human,Rules Human,Horror,4.99,16,4.4,10,0,0,0
Clara Shaw,Park Citizen,Park Citizen,Acción,7.99,8,3.94,0,1,0,0
Barry Lovelace,African Egg,African Egg,Familia,4.99,12,3.86,9,1,0,0
Dana Hart,Hanover Galaxy,Hanover Galaxy,Música,7.99,17,4.12,12,1,0,0
Caroline Bowman,Killer Innocent,Killer Innocent,Familia,2.99,6,3.86,9,0,0,0
Larry Thrasher,Uptown Young,Uptown Young,Niños,2.99,12,3.87,13,0,0,0
Richard Mccrary,Texas Watch,Texas Watch,Horror,0.99,6,4.4,10,0,0,0
Jerry Jordon,Lebowski Soldiers,Lebowski Soldiers,Drama,2.99,21,4.33,7,0,1,0
Ian Still,Jeopardy Encino,Jeopardy Encino,Clásicos,0.99,10,3.88,3,0,0,0
Timothy Bunn,Voice Peach,Voice Peach,Nuevo,0.99,19,4.63,14,0,0,1
Michael Silverman,Waterfront Deliverance,Waterfront Deliverance,Acción,7.99,17,3.94,0,1,0,0
Gregory Mauldin,Suit Walls,Suit Walls,Juegos,7.99,21,4.42,11,1,1,1
Francisco Skidmore,Club Graffiti,Club Graffiti,Animación,5.99,19,3.99,1,1,0,0
Cassandra Walters,Lola Agent,Lola Agent,Horror,5.99,24,4.4,10,1,1,0
Jaime Nettles,Chaplin License,Chaplin License,Nuevo,2.99,8,4.63,14,0,0,1
Stacey Montgomery,Oleander Clue,Oleander Clue,Música,4.99,10,4.12,12,1,0,0
Andy Vanhorn,None Spiking,None Spiking,Ciencia ficción,5.99,27,4.32,2,1,1,0
Warren Sherrod,Harper Dying,Harper Dying,Animación,0.99,20,3.99,1,0,0,0
Rosemary Schmidt,Language Cowboy,Language Cowboy,Niños,0.99,11,3.87,13,0,0,0
Leroy Bustamante,Oscar Gold,Oscar Gold,Animación,2.99,25,3.99,1,0,1,0
Danielle Daniels,Operation Operation,Operation Operation,Comedia,2.99,27,4.66,4,0,1,1
Diane Collins,Outbreak Divine,Outbreak Divine,Juegos,0.99,23,4.42,11,0,1,1
Priscilla Lowe,Camelot Vacation,Camelot Vacation,Ciencia ficción,1.99,27,4.32,2,0,1,0
Mario Cheatham,Redemption Comforts,Redemption Comforts,Nuevo,2.99,20,4.63,14,0,0,1
Joann Gardner,None Spiking,None Spiking,Ciencia ficción,4.99,27,4.32,2,0,1,0
Wanda Patterson,Autumn Crow,Autumn Crow,Juegos,4.99,11,4.42,11,0,0,1
Sergio Stanfield,Room Roman,Room Roman,Animación,0.99,20,3.99,1,0,0,0
Eleanor Hunt,Name Detective,Name Detective,Juegos,8.99,23,4.42,11,1,1,1
Raymond Mcwhorter,Invasion Cyclone,Invasion Cyclone,Niños,5.99,27,3.87,13,1,1,0
Mario Cheatham,Attraction Newton,Attraction Newton,Nuevo,4.99,24,4.63,14,0,1,1
Bonnie Hughes,Armageddon Lost,Armageddon Lost,Ciencia ficción,1.99,21,4.32,2,0,1,0
Miriam Mckinney,Mockingbird Hollywood,Mockingbird Hollywood,Acción,0.99,24,3.94,0,0,1,0
Beverly Brooks,Noon Papi,Noon Papi,Niños,2.99,17,3.87,13,0,0,0
Milton Howland,Texas Watch,Texas Watch,Horror,0.99,6,4.4,10,0,0,0
Susan Wilson,Harold French,Harold French,Drama,0.99,8,4.33,7,0,0,0
Gerald Fultz,Clockwork Paradise,Clockwork Paradise,Niños,0.99,10,3.87,13,0,0,0
Evelyn Morgan,Ali Forever,Ali Forever,Horror,4.99,9,4.4,10,0,0,0
Karl Seal,Gangs Pride,Gangs Pride,Animación,2.99,27,3.99,1,0,1,0
Clifford Bowens,Amadeus Holy,Amadeus Holy,Acción,0.99,21,3.94,0,0,1,0
Gabriel Harder,Jason Trap,Jason Trap,Familia,2.99,24,3.86,9,0,1,0
Deborah Walker,Chamber Italian,Chamber Italian,Música,4.99,13,4.12,12,1,0,0
Lloyd Dowd,Notorious Reunion,Notorious Reunion,Documental,1.99,14,4.02,6,0,0,0
Robin Hayes,Submarine Bed,Submarine Bed,Comedia,4.99,15,4.66,4,0,0,1
Scott Shelley,Karate Moon,Karate Moon,Horror,0.99,23,4.4,10,0,1,0
Max Pitt,Slipper Fidelity,Slipper Fidelity,Deportes,0.99,16,4.51,5,0,0,1
Shirley Allen,Arizona Bang,Arizona Bang,Clásicos,4.99,21,3.88,3,1,1,0
Emma Boyd,Karate Moon,Karate Moon,Horror,0.99,23,4.4,10,0,1,0
Wade Delvalle,Bringing Hysterical,Bringing Hysterical,Comedia,3.99,20,4.66,4,0,0,1
Kenneth Gooden,Legally Secretary,Legally Secretary,Niños,4.99,9,3.87,13,1,0,0
Emily Diaz,Flamingos Connecticut,Flamingos Connecticut,Nuevo,4.99,23,4.63,14,0,1,1
Elizabeth Brown,Voyage Legally,Voyage Legally,Clásicos,3.99,28,3.88,3,0,1,0
Jack Foust,Zorro Ark,Zorro Ark,Comedia,4.99,31,4.66,4,0,1,1
Sergio Stanfield,Opus Ice,Opus Ice,Extranjero,6.99,11,4.13,8,1,0,0
George Linton,Pulp Beverly,Pulp Beverly,Horror,2.99,30,4.4,10,0,1,0
Diane Collins,Backlash Undefeated,Backlash Undefeated,Niños,8.99,19,3.87,13,1,0,0
Beth Franklin,Forever Candidate,Forever Candidate,Niños,2.99,13,3.87,13,0,0,0
Terry Grissom,Fiction Christmas,Fiction Christmas,Extranjero,4.99,19,4.13,8,1,0,0
Dora Medina,Pittsburgh Hunchback,Pittsburgh Hunchback,Familia,7.99,12,3.86,9,1,0,0
Karl Seal,Date Speed,Date Speed,Familia,3.99,13,3.86,9,0,0,0
Alexander Fennell,Blues Instinct,Blues Instinct,Familia,2.99,21,3.86,9,0,1,0
Jason Morrissey,Horror Reign,Horror Reign,Viajar,0.99,27,4.24,15,0,1,0
Danny Isom,Lies Treatment,Lies Treatment,Drama,4.99,27,4.33,7,0,1,0
Harvey Guajardo,Innocent Usual,Innocent Usual,Extranjero,4.99,26,4.13,8,1,1,0
Johnnie Chisholm,King Evolution,King Evolution,Familia,8.99,9,3.86,9,1,0,0
Elmer Noe,Lies Treatment,Lies Treatment,Drama,6.99,27,4.33,7,1,1,0
Scott Shelley,Santa Paris,Santa Paris,Niños,2.99,11,3.87,13,0,0,0
Kirk Stclair,Sinners Atlantis,Sinners Atlantis,Horror,2.99,22,4.4,10,0,1,0
Christine Roberts,Odds Boogie,Odds Boogie,Familia,0.99,15,3.86,9,0,0,0
Harry Arce,Crazy Home,Crazy Home,Comedia,2.99,9,4.66,4,0,0,1
Walter Perryman,Horn Working,Horn Working,Animación,7.99,24,3.99,1,1,1,0
Viola Hanson,Rush Goodfellas,Rush Goodfellas,Familia,2.99,31,3.86,9,0,1,0
Marshall Thorn,Neighbors Charade,Neighbors Charade,Deportes,6.99,19,4.51,5,1,0,1
Elizabeth Brown,Fight Jawbreaker,Fight Jawbreaker,Animación,4.99,22,3.99,1,1,1,0
Jennifer Davis,Splendor Patton,Splendor Patton,Niños,0.99,21,3.87,13,0,1,0
Marjorie Tucker,Motions Details,Motions Details,Horror,2.99,16,4.4,10,0,0,0
Marian Mendoza,Liaisons Sweet,Liaisons Sweet,Viajar,4.99,22,4.24,15,1,1,0
Adrian Clary,Fury Murder,Fury Murder,Niños,1.99,19,3.87,13,0,0,0
Clifford Bowens,United Pilot,United Pilot,Documental,1.99,17,4.02,6,0,0,0
Laurie Lawrence,Borrowers Bedazzled,Borrowers Bedazzled,Animación,0.99,22,3.99,1,0,1,0
Steve Mackenzie,Newsies Story,Newsies Story,Documental,4.99,7,4.02,6,1,0,0
Byron Box,Human Graffiti,Human Graffiti,Juegos,7.99,15,4.42,11,1,0,1
Rosemary Schmidt,Cat Coneheads,Cat Coneheads,Comedia,6.99,30,4.66,4,1,1,1
Guy Brownlee,Pilot Hoosiers,Pilot Hoosiers,Familia,2.99,16,3.86,9,0,0,0
Priscilla Lowe,Berets Agent,Berets Agent,Acción,2.99,21,3.94,0,0,1,0
Gladys Hamilton,Baby Hall,Baby Hall,Extranjero,6.99,8,4.13,8,1,0,0
Judith Cox,Wedding Apollo,Wedding Apollo,Documental,1.99,24,4.02,6,0,1,0
Jaime Nettles,Rugrats Shakespeare,Rugrats Shakespeare,Acción,0.99,30,3.94,0,0,1,0
Vivian Ruiz,Personal Ladybugs,Personal Ladybugs,Música,6.99,14,4.12,12,1,0,0
Alex Gresham,Runner Madigan,Runner Madigan,Música,0.99,8,4.12,12,0,0,0
Joann Gardner,Ballroom Mockingbird,Ballroom Mockingbird,Extranjero,0.99,8,4.13,8,0,0,0
Gordon Allard,Aladdin Calendar,Aladdin Calendar,Deportes,4.99,23,4.51,5,0,1,1
Terrence Gunderson,Gangs Pride,Gangs Pride,Animación,6.99,27,3.99,1,1,1,0
Roy Whiting,Usual Untouchables,Usual Untouchables,Extranjero,4.99,13,4.13,8,1,0,0
Margie Wade,Wrong Behavior,Wrong Behavior,Niños,3.99,20,3.87,13,0,0,0
Marilyn Ross,Boulevard Mob,Boulevard Mob,Nuevo,1.99,18,4.63,14,0,0,1
Kathryn Coleman,Blood Argonauts,Blood Argonauts,Familia,6.99,10,3.86,9,1,0,0
Jason Morrissey,Temple Attraction,Temple Attraction,Horror,4.99,12,4.4,10,0,0,0
Warren Sherrod,Confused Candles,Confused Candles,Familia,7.99,17,3.86,9,1,0,0
Marsha Douglas,Jet Neighbors,Jet Neighbors,Extranjero,5.99,20,4.13,8,1,0,0
Maureen Little,Zorro Ark,Zorro Ark,Comedia,9.99,31,4.66,4,1,1,1
Felix Gaffney,Tuxedo Mile,Tuxedo Mile,Deportes,3.99,13,4.51,5,0,0,1
Wayne Truong,Holocaust Highball,Holocaust Highball,Niños,0.99,17,3.87,13,0,0,0
Todd Tan,Chasing Fight,Chasing Fight,Familia,4.99,20,3.86,9,1,0,0
Adam Gooch,Music Boondock,Music Boondock,Familia,0.99,19,3.86,9,0,0,0
Priscilla Lowe,Campus Remember,Campus Remember,Acción,5.99,19,3.94,0,1,0,0
Darren Windham,Karate Moon,Karate Moon,Horror,2.99,23,4.4,10,0,1,0
Scott Shelley,Clueless Bucket,Clueless Bucket,Acción,2.99,25,3.94,0,0,1,0
Megan Palmer,Montezuma Command,Montezuma Command,Acción,0.99,9,3.94,0,0,0,0
Warren Sherrod,Name Detective,Name Detective,Juegos,6.99,23,4.42,11,1,1,1
Stacey Montgomery,Pocus Pulp,Pocus Pulp,Documental,1.99,26,4.02,6,0,1,0
Marc Outlaw,Model Fish,Model Fish,Niños,4.99,15,3.87,13,1,0,0
Patsy Davidson,Madness Attacks,Madness Attacks,Extranjero,3.99,25,4.13,8,0,1,0
Gina Williamson,Contact Anonymous,Contact Anonymous,Viajar,2.99,26,4.24,15,0,1,0
Annie Russell,Wolves Desire,Wolves Desire,Viajar,0.99,21,4.24,15,0,1,0
Dale Ratcliff,Spirit Flintstones,Spirit Flintstones,Horror,0.99,15,4.4,10,0,0,0
Vincent Ralston,Indian Love,Indian Love,Familia,0.99,16,3.86,9,0,0,0
Jon Wiles,Magic Mallrats,Magic Mallrats,Niños,4.99,7,3.87,13,1,0,0
Neil Renner,Frost Head,Frost Head,Clásicos,3.99,30,3.88,3,0,1,0
Rene Mcalister,Core Suit,Core Suit,Clásicos,2.99,18,3.88,3,0,0,0
James Gannon,Highball Potter,Highball Potter,Extranjero,0.99,21,4.13,8,0,1,0
Perry Swafford,Flight Lies,Flight Lies,Deportes,6.99,12,4.51,5,1,0,1
Theodore Culp,Jet Neighbors,Jet Neighbors,Extranjero,6.99,20,4.13,8,1,0,0
Herbert Kruger,Beauty Grease,Beauty Grease,Drama,5.99,22,4.33,7,1,1,0
Harold Martino,Candidate Perdition,Candidate Perdition,Clásicos,2.99,18,3.88,3,0,0,0
David Royal,Bikini Borrowers,Bikini Borrowers,Animación,4.99,17,3.99,1,1,0,0
Brandon Huey,Dynamite Tarzan,Dynamite Tarzan,Clásicos,5.99,25,3.88,3,1,1,0
Kathy James,Easy Gladiator,Easy Gladiator,Acción,5.99,23,3.94,0,1,1,0
Amber Dixon,Lose Inch,Lose Inch,Extranjero,0.99,27,4.13,8,0,1,0
Willie Markham,Banger Pinocchio,Banger Pinocchio,Música,0.99,22,4.12,12,0,1,0
Jimmie Eggleston,Undefeated Dalmations,Undefeated Dalmations,Horror,4.99,21,4.4,10,0,1,0
Deanna Byrd,Arabia Dogma,Arabia Dogma,Horror,0.99,13,4.4,10,0,0,0
Judith Cox,Masked Bubble,Masked Bubble,Música,0.99,20,4.12,12,0,0,0
Jared Ely,Expecations Natural,Expecations Natural,Viajar,4.99,18,4.24,15,1,0,0
Clinton Buford,Pocus Pulp,Pocus Pulp,Documental,0.99,26,4.02,6,0,1,0
Ellen Simpson,Silence Kane,Silence Kane,Música,0.99,16,4.12,12,0,0,0
Tyrone Asher,Silverado Goldfinger,Silverado Goldfinger,Ciencia ficción,6.99,12,4.32,2,1,0,0
Raymond Mcwhorter,Oleander Clue,Oleander Clue,Música,4.99,10,4.12,12,1,0,0
Tommy Collazo,Star Operation,Star Operation,Deportes,3.99,21,4.51,5,0,1,1
Mark Rinehart,Greek Everyone,Greek Everyone,Extranjero,2.99,17,4.13,8,0,0,0
Calvin Martel,Roots Remember,Roots Remember,Clásicos,4.99,17,3.88,3,1,0,0
Joanne Robertson,Menagerie Rushmore,Menagerie Rushmore,Animación,2.99,7,3.99,1,0,0,0
Grace Ellis,Flamingos Connecticut,Flamingos Connecticut,Nuevo,4.99,23,4.63,14,0,1,1
Ellen Simpson,Manchurian Curtain,Manchurian Curtain,Familia,6.99,15,3.86,9,1,0,0
Jamie Waugh,Dude Blindness,Dude Blindness,Deportes,4.99,16,4.51,5,0,0,1
Jimmie Eggleston,Caper Motions,Caper Motions,Comedia,0.99,24,4.66,4,0,1,1
Kelly Knott,Titanic Boondock,Titanic Boondock,Animación,9.99,23,3.99,1,1,1,0
Joyce Edwards,Show Lord,Show Lord,Documental,4.99,25,4.02,6,1,1,0
Brett Cornwell,Calendar Gunfight,Calendar Gunfight,Extranjero,8.99,21,4.13,8,1,1,0
Maria Miller,Sierra Divide,Sierra Divide,Deportes,3.99,15,4.51,5,0,0,1
Patsy Davidson,Steers Armageddon,Steers Armageddon,Deportes,7.99,15,4.51,5,1,0,1
George Linton,Rocketeer Mother,Rocketeer Mother,Extranjero,3.99,33,4.13,8,0,1,0
Earl Shanks,Watch Tracy,Watch Tracy,Animación,4.99,16,3.99,1,1,0,0
Don Bone,Massacre Usual,Massacre Usual,Juegos,5.99,30,4.42,11,1,1,1
Dolores Wagner,Shock Cabin,Shock Cabin,Extranjero,2.99,30,4.13,8,0,1,0
Lucy Wheeler,Handicap Boondock,Handicap Boondock,Acción,1.99,28,3.94,0,0,1,0
Megan Palmer,Rugrats Shakespeare,Rugrats Shakespeare,Acción,3.99,30,3.94,0,0,1,0
Ashley Richardson,Goldmine Tycoon,Goldmine Tycoon,Ciencia ficción,3.99,27,4.32,2,0,1,0
Ralph Madrigal,Igby Maker,Igby Maker,Viajar,5.99,19,4.24,15,1,0,0
Earl Shanks,Downhill Enough,Downhill Enough,Comedia,2.99,25,4.66,4,0,1,1
Julia Flores,Spoilers Hellfighters,Spoilers Hellfighters,Documental,2.99,10,4.02,6,0,0,0
Nancy Thomas,Robbers Joon,Robbers Joon,Niños,2.99,31,3.87,13,0,1,0
Dolores Wagner,Crooked Frogmen,Crooked Frogmen,Niños,0.99,23,3.87,13,0,1,0
Martin Bales,Opposite Necklace,Opposite Necklace,Familia,4.99,13,3.86,9,1,0,0
Roger Quintanilla,Lion Uncut,Lion Uncut,Comedia,2.99,18,4.66,4,0,0,1
Jack Foust,Timberland Sky,Timberland Sky,Clásicos,5.99,31,3.88,3,1,1,0
Bobby Boudreau,Won Dares,Won Dares,Música,2.99,9,4.12,12,0,0,0
Stanley Scroggins,Wind Phantom,Wind Phantom,Juegos,0.99,23,4.42,11,0,1,1
Josephine Gomez,Elephant Trojan,Elephant Trojan,Horror,4.99,14,4.4,10,0,0,0
Jessie Milam,Spiking Element,Spiking Element,Clásicos,2.99,13,3.88,3,0,0,0
Beth Franklin,Moulin Wake,Moulin Wake,Viajar,4.99,16,4.24,15,1,0,0
Leslie Seward,Shrunk Divine,Shrunk Divine,Acción,2.99,14,3.94,0,0,0,0
Willard Lumpkin,Attacks Hate,Attacks Hate,Ciencia ficción,4.99,16,4.32,2,0,0,0
Judy Gray,Whisperer Giant,Whisperer Giant,Ciencia ficción,6.99,22,4.32,2,1,1,0
Kelly Knott,House Dynamite,House Dynamite,Familia,2.99,23,3.86,9,0,1,0
Harold Martino,Flintstones Happiness,Flintstones Happiness,Comedia,7.99,17,4.66,4,1,0,1
Leon Bostic,Drumline Cyclone,Drumline Cyclone,Viajar,5.99,11,4.24,15,1,0,0
Irene Price,Hook Chariots,Hook Chariots,Animación,0.99,13,3.99,1,0,0,0
Bryan Hardison,Wizard Coldblooded,Wizard Coldblooded,Música,5.99,16,4.12,12,1,0,0
Clara Shaw,Fool Mockingbird,Fool Mockingbird,Acción,9.99,23,3.94,0,1,1,0
Johnnie Chisholm,California Birds,California Birds,Deportes,8.99,12,4.51,5,1,0,1
Eleanor Hunt,American Circus,American Circus,Acción,10.99,22,3.94,0,1,1,0
Lillie Kim,Congeniality Quest,Congeniality Quest,Deportes,2.99,22,4.51,5,0,1,1
Courtney Day,Flying Hook,Flying Hook,Animación,5.99,20,3.99,1,1,0,0
Toni Holt,Balloon Homeward,Balloon Homeward,Música,2.99,23,4.12,12,0,1,0
Wesley Bull,French Holiday,French Holiday,Documental,4.99,17,4.02,6,1,0,0
Wendy Harrison,Beauty Grease,Beauty Grease,Drama,6.99,22,4.33,7,1,1,0
Carolyn Perez,Muscle Bright,Muscle Bright,Viajar,2.99,30,4.24,15,0,1,0
Austin Cintron,Something Duck,Something Duck,Drama,9.99,19,4.33,7,1,0,0
Reginald Kinder,Crooked Frogmen,Crooked Frogmen,Niños,3.99,23,3.87,13,0,1,0
Erika Pena,Outbreak Divine,Outbreak Divine,Juegos,0.99,23,4.42,11,0,1,1
Sam Mcduffie,Mod Secretary,Mod Secretary,Documental,4.99,11,4.02,6,1,0,0
Cassandra Walters,Frost Head,Frost Head,Clásicos,4.99,30,3.88,3,1,1,0
Patsy Davidson,Grit Clockwork,Grit Clockwork,Juegos,6.99,32,4.42,11,1,1,1
Dana Hart,Chicken Hellfighters,Chicken Hellfighters,Documental,2.99,22,4.02,6,0,1,0
Randy Gaither,Chitty Lock,Chitty Lock,Drama,2.99,8,4.33,7,0,0,0
Hilda Hopkins,Blade Polish,Blade Polish,Drama,1.99,22,4.33,7,0,1,0
Regina Berry,Sagebrush Clueless,Sagebrush Clueless,Documental,3.99,16,4.02,6,0,0,0
Clyde Tobias,Nash Chocolat,Nash Chocolat,Animación,4.99,15,3.99,1,1,0,0
Florence Woods,Gables Metropolis,Gables Metropolis,Familia,5.99,19,3.86,9,1,0,0
Max Pitt,Jekyll Frogmen,Jekyll Frogmen,Nuevo,6.99,17,4.63,14,1,0,1
Teresa Rogers,Anonymous Human,Anonymous Human,Deportes,0.99,13,4.51,5,0,0,1
Daryl Larue,Haunting Pianist,Haunting Pianist,Juegos,1.99,22,4.42,11,0,1,1
Tim Cary,Rage Games,Rage Games,Familia,5.99,19,3.86,9,1,0,0
Kristina Chambers,Oz Liaisons,Oz Liaisons,Animación,4.99,24,3.99,1,1,1,0
Juanita Mason,Army Flintstones,Army Flintstones,Documental,3.99,16,4.02,6,0,0,0
Suzanne Nichols,Details Packer,Details Packer,Juegos,9.99,19,4.42,11,1,0,1
Elsie Kelley,Elephant Trojan,Elephant Trojan,Horror,4.99,14,4.4,10,0,0,0
Lydia Burke,Baked Cleopatra,Baked Cleopatra,Familia,2.99,16,3.86,9,0,0,0
Roy Whiting,Chance Resurrection,Chance Resurrection,Deportes,2.99,27,4.51,5,0,1,1
John Farnsworth,Gangs Pride,Gangs Pride,Animación,5.99,27,3.99,1,1,1,0
Felix Gaffney,Confidential Interview,Confidential Interview,Música,4.99,29,4.12,12,1,1,0
Daryl Larue,Creatures Shakespeare,Creatures Shakespeare,Juegos,6.99,16,4.42,11,1,0,1
Leona Obrien,Language Cowboy,Language Cowboy,Niños,0.99,11,3.87,13,0,0,0
Manuel Murrell,Graduate Lord,Graduate Lord,Niños,2.99,16,3.87,13,0,0,0
Felicia Sutton,Freddy Storm,Freddy Storm,Horror,4.99,23,4.4,10,0,1,0
Brett Cornwell,Crossroads Casualties,Crossroads Casualties,Animación,2.99,21,3.99,1,0,1,0
Lawrence Lawton,Trip Newton,Trip Newton,Acción,4.99,28,3.94,0,1,1,0
Willard Lumpkin,Hollywood Anonymous,Hollywood Anonymous,Niños,0.99,13,3.87,13,0,0,0
Cathy Spencer,Dances None,Dances None,Acción,1.99,14,3.94,0,0,0,0
